,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,median_house_value
14196,-117.03,32.71,33.0,3126.0,627.0,2300.0,623.0,3.2596,5.017656500802568,3.691813804173355,0,0,0,0,1,103000.0
8267,-118.16,33.77,49.0,3382.0,787.0,1314.0,756.0,3.8125,4.473544973544974,1.7380952380952381,0,0,0,0,1,382100.0
17445,-120.48,34.66,4.0,1897.0,331.0,915.0,336.0,4.1563,5.645833333333333,2.7232142857142856,0,0,0,0,1,172600.0
14265,-117.11,32.69,36.0,1421.0,367.0,1418.0,355.0,1.9425,4.002816901408451,3.9943661971830986,0,0,0,0,1,93400.0
2271,-119.8,36.78,43.0,2382.0,431.0,874.0,380.0,3.5542,6.268421052631579,2.3,0,1,0,0,0,96500.0
17848,-121.86,37.42,20.0,5032.0,808.0,2695.0,801.0,6.6227,6.282147315855181,3.3645443196004994,1,0,0,0,0,264800.0
6252,-117.97,34.04,28.0,1686.0,417.0,1355.0,388.0,2.5192,4.345360824742268,3.4922680412371134,1,0,0,0,0,157300.0
9389,-122.53,37.91,37.0,2524.0,398.0,999.0,417.0,7.9892,6.052757793764988,2.3956834532374103,0,0,0,1,0,500001.0
6113,-117.9,34.13,5.0,1126.0,316.0,819.0,311.0,1.5,3.620578778135048,2.6334405144694535,1,0,0,0,0,139800.0
6061,-117.79,34.02,5.0,18690.0,2862.0,9427.0,2777.0,6.4266,6.730284479654303,3.394670507742168,1,0,0,0,0,315600.0
16030,-122.45,37.72,52.0,982.0,197.0,653.0,171.0,4.2167,5.742690058479532,3.818713450292398,0,0,0,1,0,231900.0
8364,-118.35,33.97,25.0,1864.0,616.0,1710.0,575.0,2.2303,3.2417391304347825,2.973913043478261,1,0,0,0,0,159400.0
9448,-119.72,37.46,13.0,1999.0,375.0,750.0,308.0,2.875,6.490259740259741,2.435064935064935,0,1,0,0,0,96000.0
17529,-121.88,37.33,36.0,1904.0,689.0,3561.0,632.0,2.0972,3.0126582278481013,5.6344936708860756,1,0,0,0,0,187500.0
5865,-118.34,34.18,46.0,1393.0,301.0,714.0,295.0,2.8125,4.722033898305085,2.4203389830508475,1,0,0,0,0,229900.0
7615,-118.23,33.89,36.0,2598.0,514.0,1872.0,514.0,3.1667,5.054474708171206,3.642023346303502,1,0,0,0,0,117700.0
9707,-121.65,36.67,52.0,2351.0,459.0,1169.0,439.0,2.8924,5.355353075170843,2.662870159453303,1,0,0,0,0,169600.0
16332,-121.34,38.03,20.0,4213.0,751.0,2071.0,714.0,4.4063,5.900560224089636,2.9005602240896358,0,1,0,0,0,130800.0
3449,-118.43,34.32,34.0,2657.0,515.0,1948.0,532.0,4.233,4.9943609022556394,3.661654135338346,1,0,0,0,0,157400.0
5199,-118.28,33.93,21.0,847.0,278.0,1283.0,277.0,1.4329,3.0577617328519855,4.631768953068592,1,0,0,0,0,94100.0
13496,-117.34,34.16,31.0,1606.0,354.0,1049.0,335.0,2.1935,4.794029850746269,3.1313432835820896,0,1,0,0,0,72700.0
18056,-121.98,37.24,35.0,3574.0,485.0,1325.0,476.0,8.5425,7.508403361344538,2.783613445378151,1,0,0,0,0,500001.0
9529,-123.15,38.94,22.0,2163.0,436.0,1048.0,358.0,2.7171,6.0418994413407825,2.9273743016759775,1,0,0,0,0,95800.0
5128,-118.28,33.98,43.0,1240.0,312.0,1100.0,311.0,1.575,3.987138263665595,3.536977491961415,1,0,0,0,0,97500.0
18796,-122.31,40.89,18.0,754.0,161.0,247.0,107.0,2.2583,7.046728971962617,2.308411214953271,0,1,0,0,0,78800.0
413,-122.28,37.89,52.0,2070.0,329.0,722.0,306.0,5.4171,6.764705882352941,2.3594771241830066,0,0,0,1,0,292000.0
1175,-121.57,39.48,15.0,202.0,54.0,145.0,40.0,0.8252,5.05,3.625,0,1,0,0,0,42500.0
4387,-118.26,34.08,46.0,945.0,250.0,910.0,252.0,3.5039,3.75,3.611111111111111,1,0,0,0,0,187500.0
11628,-118.07,33.8,22.0,1391.0,338.0,810.0,295.0,3.8792,4.715254237288136,2.7457627118644066,1,0,0,0,0,218200.0
9787,-120.79,36.06,29.0,1916.0,386.0,1019.0,314.0,2.4881,6.101910828025478,3.245222929936306,1,0,0,0,0,87500.0
15557,-117.07,33.12,32.0,2474.0,499.0,1224.0,461.0,2.7216,5.366594360086768,2.6550976138828633,1,0,0,0,0,146300.0
9132,-118.01,34.55,2.0,2701.0,530.0,1368.0,430.0,4.071,6.28139534883721,3.181395348837209,0,1,0,0,0,137400.0
5514,-118.4,33.99,39.0,1613.0,380.0,1113.0,356.0,2.825,4.530898876404494,3.1264044943820224,1,0,0,0,0,276700.0
6504,-118.06,34.08,37.0,778.0,205.0,850.0,198.0,2.5119,3.9292929292929295,4.292929292929293,1,0,0,0,0,180500.0
15028,-117.01,32.79,31.0,3776.0,815.0,1886.0,799.0,3.4421,4.725907384230288,2.360450563204005,1,0,0,0,0,155300.0
7816,-118.11,33.88,35.0,1623.0,304.0,868.0,272.0,3.5893,5.966911764705882,3.1911764705882355,1,0,0,0,0,276000.0
18758,-122.36,40.66,17.0,2786.0,559.0,1528.0,517.0,2.0119,5.388781431334623,2.955512572533849,0,1,0,0,0,75800.0
7369,-118.21,33.97,52.0,4220.0,908.0,3731.0,892.0,3.1901,4.7309417040358746,4.182735426008969,1,0,0,0,0,167600.0
7898,-118.06,33.86,16.0,5603.0,938.0,3045.0,893.0,5.0778,6.274356103023516,3.4098544232922734,1,0,0,0,0,293700.0
10823,-117.92,33.65,28.0,1087.0,423.0,807.0,425.0,0.9702,2.5576470588235294,1.8988235294117648,1,0,0,0,0,225400.0
5252,-118.47,34.1,32.0,8041.0,1141.0,2768.0,1106.0,11.1978,7.270343580470163,2.5027124773960217,1,0,0,0,0,500001.0
